,Unnamed: 0,Datetime,Home Team Initials,Away Team Initials,Winner,Home Rank,Away Rank,Host Country,Is Home Host?,Is Away Host?,Rank Change Away,Rank Change Home,Home UEFA,Home CONMEBOL,Home CAF,Home AFC,Home CONCACAF,Home OFC,Away UEFA,Away CONMEBOL,Away CAF,Away AFC,Away CONCACAF,Away OFC
124,124,2002-06-03,BRA,TUR,Home,2,22,JPN KOR,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0
125,125,2002-06-03,ITA,ECU,Home,6,36,JPN KOR,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
126,126,2002-06-03,CRO,MEX,Away,21,7,JPN KOR,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0
127,127,2002-06-04,CHN,CRC,Away,50,29,JPN KOR,0,0,-2,1,0,0,0,1,0,0,0,0,0,0,1,0
128,128,2002-06-04,JPN,BEL,tie,32,23,JPN KOR,0,0,-1,1,0,0,0,1,0,0,1,0,0,0,0,0
129,129,2002-06-04,KOR,POL,Home,40,38,JPN KOR,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
130,130,2002-06-05,RUS,TUN,Home,28,31,JPN KOR,0,0,-1,-4,1,0,0,0,0,0,0,0,1,0,0,0
131,131,2002-06-05,USA,POR,Home,13,5,JPN KOR,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
132,132,2002-06-05,GER,IRL,tie,11,15,JPN KOR,0,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0
133,133,2002-06-06,DEN,SEN,tie,20,42,JPN KOR,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
134,134,2002-06-06,CMR,KSA,Home,17,34,JPN KOR,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
135,135,2002-06-06,FRA,URU,tie,1,24,JPN KOR,0,0,-3,0,1,0,0,0,0,0,0,1,0,0,0,0
136,136,2002-06-07,SWE,NGA,Home,19,27,JPN KOR,0,0,2,-2,1,0,0,0,0,0,0,0,1,0,0,0
137,137,2002-06-07,ARG,ENG,Away,3,12,JPN KOR,0,0,-1,0,0,1,0,0,0,0,1,0,0,0,0,0
138,138,2002-06-07,ESP,PAR,Home,8,18,JPN KOR,0,0,-3,0,1,0,0,0,0,0,0,1,0,0,0,0
139,139,2002-06-08,RSA,SVN,Home,37,25,JPN KOR,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0
140,140,2002-06-08,BRA,CHN,Home,2,50,JPN KOR,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
141,141,2002-06-08,ITA,CRO,Away,6,21,JPN KOR,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0
142,142,2002-06-09,CRC,TUR,tie,29,22,JPN KOR,0,0,3,-2,0,0,0,0,1,0,1,0,0,0,0,0
143,143,2002-06-09,JPN,RUS,Home,32,28,JPN KOR,0,0,-4,1,0,0,0,1,0,0,1,0,0,0,0,0
144,144,2002-06-09,MEX,ECU,Home,7,36,JPN KOR,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
145,145,2002-06-10,KOR,USA,tie,40,13,JPN KOR,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
146,146,2002-06-10,POR,POL,Home,5,38,JPN KOR,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
147,147,2002-06-10,TUN,BEL,tie,31,23,JPN KOR,0,0,-1,-1,0,0,1,0,0,0,1,0,0,0,0,0
148,148,2002-06-11,DEN,FRA,Home,20,1,JPN KOR,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
149,149,2002-06-11,SEN,URU,tie,42,24,JPN KOR,0,0,-3,1,0,0,1,0,0,0,0,1,0,0,0,0
150,150,2002-06-11,KSA,IRL,Away,34,15,JPN KOR,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0
151,151,2002-06-11,CMR,GER,Away,17,11,JPN KOR,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
152,152,2002-06-12,SWE,ARG,tie,19,3,JPN KOR,0,0,0,-2,1,0,0,0,0,0,0,1,0,0,0,0
153,153,2002-06-12,NGA,ENG,tie,27,12,JPN KOR,0,0,-1,2,0,0,1,0,0,0,1,0,0,0,0,0
154,154,2002-06-12,SVN,PAR,Away,25,18,JPN KOR,0,0,-3,3,1,0,0,0,0,0,0,1,0,0,0,0
155,155,2002-06-12,RSA,ESP,Away,37,8,JPN KOR,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
156,156,2002-06-13,CRC,BRA,Away,29,2,JPN KOR,0,0,0,-2,0,0,0,0,1,0,0,1,0,0,0,0
157,157,2002-06-13,TUR,CHN,Home,22,50,JPN KOR,0,0,1,3,1,0,0,0,0,0,0,0,0,1,0,0
158,158,2002-06-13,ECU,CRO,Home,36,21,JPN KOR,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0
159,159,2002-06-13,MEX,ITA,tie,7,6,JPN KOR,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
160,160,2002-06-14,TUN,JPN,Away,31,32,JPN KOR,0,0,1,-1,0,0,1,0,0,0,0,0,0,1,0,0
161,161,2002-06-14,POR,KOR,Away,5,40,JPN KOR,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
162,162,2002-06-14,POL,USA,Home,38,13,JPN KOR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
163,163,2002-06-14,BEL,RUS,Home,23,28,JPN KOR,0,0,-4,-1,1,0,0,0,0,0,1,0,0,0,0,0
164,164,2002-06-15,DEN,ENG,Away,20,12,JPN KOR,0,0,-1,0,1,0,0,0,0,0,1,0,0,0,0,0
165,165,2002-06-15,GER,PAR,Home,11,18,JPN KOR,0,0,-3,1,1,0,0,0,0,0,0,1,0,0,0,0
166,166,2002-06-16,ESP,IRL,tie,8,15,JPN KOR,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0
167,167,2002-06-16,SWE,SEN,Away,19,42,JPN KOR,0,0,1,-2,1,0,0,0,0,0,0,0,1,0,0,0
